Id,Level,Word,Type,Turkish,English Meaning,English Example
1844,B1-B2,encounter ,n, karşılaşma,a person or thing that 'encount'‑s.,"The encounter played a crucial role in the outcome, though few noticed it at first."
1845,B1-B2,encounter ,v," karşılaşmak, rastlaşmak",to encounter: to perform the action of 'encounter'.,"She has been trying to encounter the report, but unexpected issues kept coming up."
1846,B1-B2,engage ,v," baglanmak, isgal etmek, cekmek, carpismak",to engage: to perform the action of 'engage'.,We were advised to engage carefully so we wouldn’t overlook any detail.
1847,B1-B2,enhance ,v," geliştirmek, artırmak, yükseltmek, arttırmak",to enhance: to perform the action of 'enhance'.,"If you enhance consistently, you’ll see measurable progress within a few weeks."
1848,B1-B2,enjoyable ,adj," hoş, tatlı, eğlenceli, zevkli",able to be 'enjoy'‑ed; capable or suitable.,"To remain enjoyable under pressure, you need clear priorities and regular breaks."
1849,B1-B2,enquiry ,n," soruşturma, sorgu, soru",enquiry: a countable or uncountable noun depending on context.,His explanation clarified what the enquiry actually involves in practice.
1850,B1-B2,ensure ,v," sağlama almak, garantiye almak",to ensure: to perform the action of 'ensure'.,"If you ensure consistently, you’ll see measurable progress within a few weeks."
1851,B1-B2,entertaining ,adj, eğlenceli,describing someone or something as 'entertaining'.,"Although the plan looked entertaining at first, it turned out to be highly effective."
1852,B1-B2,enthusiasm ,n," gayret, heyecan, şevk, heves, coşku",enthusiasm: a countable or uncountable noun depending on context.,"The enthusiasm played a crucial role in the outcome, though few noticed it at first."
1853,B1-B2,enthusiastic ,adj," hevesli, coşkulu",related to or characteristic of 'enthusiast'.,"Her approach is far more enthusiastic than the previous one, which saves considerable time."
1854,B1-B2,entire ,adj," tam, bütün, tüm",describing someone or something as 'entire'.,The summary is sufficiently entire for a board-level discussion.
1855,B1-B2,entirely ,adv, tümüyle,in a 'entire' manner; to a 'entire' degree.,"If you proceed entirely, the risk will be minimal and easier to manage."
1856,B1-B2,entrepreneur ,n, girişimci,entrepreneur: a countable or uncountable noun depending on context.,His explanation clarified what the entrepreneur actually involves in practice.
1857,B1-B2,envelope ,n, zarf,envelope: a countable or uncountable noun depending on context.,His explanation clarified what the envelope actually involves in practice.
1858,B1-B2,equal ,n, aynı haklara / fırsatlara / yeteneğe sahip kişi,equal: a countable or uncountable noun depending on context.,"Without adequate equal, the entire plan could have fallen apart."
1859,B1-B2,equip ,v, donatmak,to equip: to perform the action of 'equip'.,"If you equip consistently, you’ll see measurable progress within a few weeks."
1860,B1-B2,equivalent ,adj," eşit, denk, eşdeğer",describing someone or something as 'equivalent'.,The summary is sufficiently equivalent for a board-level discussion.
1861,B1-B2,equivalent ,n," muadil, karşılık, eşdeğer, eşitlik, aynılık",equivalent: a countable or uncountable noun depending on context.,"Due to the equivalent, the team had to revise the timeline, which affected several groups."
1862,B1-B2,era ,n," devir, çağ, zaman",era: a countable or uncountable noun depending on context.,His explanation clarified what the era actually involves in practice.
1863,B1-B2,erupt ,v," püskürmek, fışkırmak, patlamak",to erupt: to perform the action of 'erupt'.,"If you erupt consistently, you’ll see measurable progress within a few weeks."
1864,B1-B2,essentially ,adv," aslen, aslında, esasen, gerçekten",in a 'essential' manner; to a 'essential' degree.,"They communicated essentially, which prevented a serious misunderstanding."
1865,B1-B2,establish ,v," kurmak, yapmak, yerleştirmek, belirlemek",to establish: to perform the action of 'establish'.,"She has been trying to establish the report, but unexpected issues kept coming up."
1866,B1-B2,estate ,n," emlâk, mülk, malikâne, arazi, mal",estate: a countable or uncountable noun depending on context.,"Due to the estate, the team had to revise the timeline, which affected several groups."
1867,B1-B2,estimate ,n, tahmin,estimate: a countable or uncountable noun depending on context.,"Without adequate estimate, the entire plan could have fallen apart."
1868,B1-B2,estimate ,v," tahmin etmek, değer biçmek",to estimate: to perform the action of 'estimate'.,"If you estimate consistently, you’ll see measurable progress within a few weeks."
1869,B1-B2,ethic ,n," ilke, prensip, usül, ahlak, etik",ethic: a countable or uncountable noun depending on context.,"The ethic played a crucial role in the outcome, though few noticed it at first."
1870,B1-B2,ethical ,adj, ahlaki,related to or characteristic of 'eth'.,"Although the plan looked ethical at first, it turned out to be highly effective."
1871,B1-B2,ethnic ,adj," ırksal, etnik",related to or characteristic of 'ethn'.,"Although the plan looked ethnic at first, it turned out to be highly effective."
1872,B1-B2,evaluate ,v," değerlendirmek, değer biçmek",to evaluate: to perform the action of 'evaluate'.,We were advised to evaluate carefully so we wouldn’t overlook any detail.
1873,B1-B2,evaluation ,n, değerlendirme,the act or process of 'evalu'‑ing; or the result of it.,"Without adequate evaluation, the entire plan could have fallen apart."
1874,B1-B2,even ,adj," düz, bir hizada, bir düzeyde / seviyede, engebesiz",describing someone or something as 'even'.,The summary is sufficiently even for a board-level discussion.
1875,B1-B2,evident ,adj," belli, açık",describing someone or something as 'evident'.,"Although the plan looked evident at first, it turned out to be highly effective."
1876,B1-B2,evil ,adj," fena, zararlı, kötü",describing someone or something as 'evil'.,The summary is sufficiently evil for a board-level discussion.
1877,B1-B2,evil ,n, kötülük,evil: a countable or uncountable noun depending on context.,"The evil played a crucial role in the outcome, though few noticed it at first."
1878,B1-B2,evolution ,n," evrim, gelişim, açılma",the act or process of 'evolu'‑ing; or the result of it.,"The evolution played a crucial role in the outcome, though few noticed it at first."
1879,B1-B2,evolve ,v," geliştirmek, gelişmek, evrim geçirmek, ortaya çıkmak",to evolve: to perform the action of 'evolve'.,We were advised to evolve carefully so we wouldn’t overlook any detail.
1880,B1-B2,examination ,n," inceleme, muayene; sınav",the act or process of 'examin'‑ing; or the result of it.,His explanation clarified what the examination actually involves in practice.
1881,B1-B2,exceed ,v," aşmak, geçmek",to exceed: to perform the action of 'exceed'.,"She has been trying to exceed the report, but unexpected issues kept coming up."
1882,B1-B2,exception ,n, istisna,the act or process of 'excep'‑ing; or the result of it.,"The exception played a crucial role in the outcome, though few noticed it at first."
1883,B1-B2,excessive ,adj," aşırı, fazla",having a tendency or function to 'excess'.,The summary is sufficiently excessive for a board-level discussion.
1884,B1-B2,exclude ,v," hariç tutmak, dışında tutmak, dışlamak, içeri almamak,",to exclude: to perform the action of 'exclude'.,"She has been trying to exclude the report, but unexpected issues kept coming up."
1885,B1-B2,excuse ,n," bahane, sebep, özür",excuse: a countable or uncountable noun depending on context.,"Without adequate excuse, the entire plan could have fallen apart."
1886,B1-B2,excuse ,v," affetmek, bağışlamak, mazur görmek",to excuse: to perform the action of 'excuse'.,"She has been trying to excuse the report, but unexpected issues kept coming up."
1887,B1-B2,executive ,adj," yetkili, yönetici, idareci",having a tendency or function to 'execut'.,"To remain executive under pressure, you need clear priorities and regular breaks."
1888,B1-B2,executive ,n," yönetici, idareci",executive: a countable or uncountable noun depending on context.,"Due to the executive, the team had to revise the timeline, which affected several groups."
1889,B1-B2,exhibit ,n, sergileme,exhibit: a countable or uncountable noun depending on context.,"Due to the exhibit, the team had to revise the timeline, which affected several groups."
1890,B1-B2,exhibit ,v," göstermek, ortaya koymak, sergilemek",to exhibit: to perform the action of 'exhibit'.,"She has been trying to exhibit the report, but unexpected issues kept coming up."
1891,B1-B2,existence ,n, varoluş,existence: a countable or uncountable noun depending on context.,"The existence played a crucial role in the outcome, though few noticed it at first."
1892,B1-B2,exit ,n, çıkış,exit: a countable or uncountable noun depending on context.,His explanation clarified what the exit actually involves in practice.
1893,B1-B2,exotic ,adj," egzotik, yabancı, acayip",related to or characteristic of 'exot'.,"To remain exotic under pressure, you need clear priorities and regular breaks."
1894,B1-B2,expansion ,n," genişleme, gelişme, büyüme, yayılma",the act or process of 'expan'‑ing; or the result of it.,"The expansion played a crucial role in the outcome, though few noticed it at first."
1895,B1-B2,expectation ,n," umma, beklenti, umut, umit",the act or process of 'expect'‑ing; or the result of it.,"The expectation played a crucial role in the outcome, though few noticed it at first."
1896,B1-B2,expense ,n," harcama, masraf, gider",expense: a countable or uncountable noun depending on context.,"The expense played a crucial role in the outcome, though few noticed it at first."
1897,B1-B2,expertise ,n," uzmanlık, ihtisas, beceri, ustalık",expertise: a countable or uncountable noun depending on context.,His explanation clarified what the expertise actually involves in practice.
1898,B1-B2,exploit ,v," istismar, kullanmak, faydalanmak, sömürmek",to exploit: to perform the action of 'exploit'.,"Rather than exploit immediately, they compared the alternatives thoroughly."
1899,B1-B2,exploration ,n, araştırma,the act or process of 'explor'‑ing; or the result of it.,"The exploration played a crucial role in the outcome, though few noticed it at first."
1900,B1-B2,expose ,v," ortaya çıkarmak, maruz bırakmak, açığa çıkarmak",to expose: to perform the action of 'expose'.,"If you expose consistently, you’ll see measurable progress within a few weeks."
1901,B1-B2,exposure ,n," poz, kare, maruz kalma",exposure: a countable or uncountable noun depending on context.,"Due to the exposure, the team had to revise the timeline, which affected several groups."
1902,B1-B2,extend ,v," genişletmek, yaymak, uzatmak",to extend: to perform the action of 'extend'.,We were advised to extend carefully so we wouldn’t overlook any detail.
1903,B1-B2,extension ,n," dahili hat, genişletme, uzatma",the act or process of 'exten'‑ing; or the result of it.,"The extension played a crucial role in the outcome, though few noticed it at first."
1904,B1-B2,extensive ,adj," kapsamlı, detaylı, yaygın, geniş",having a tendency or function to 'extens'.,"Her approach is far more extensive than the previous one, which saves considerable time."
1905,B1-B2,extensively ,adv," yaygın olarak, geniş olarak, yoğun şekilde",in a 'extensive' manner; to a 'extensive' degree.,"They communicated extensively, which prevented a serious misunderstanding."
1906,B1-B2,extent ,n," alan, boyut, kapsam, derece",extent: a countable or uncountable noun depending on context.,"Without adequate extent, the entire plan could have fallen apart."
1907,B1-B2,external ,adj," dış, harici, dışarıdan gelen",related to or characteristic of 'extern'.,"Although the plan looked external at first, it turned out to be highly effective."
1908,B1-B2,extract ,n," esans, soy, öz (cikarmak fiil)",extract: a countable or uncountable noun depending on context.,"Without adequate extract, the entire plan could have fallen apart."
1909,B1-B2,extraordinary ,adj," olağanüstü, olağandışı, fevkalade, sıra dışı",somewhat like 'extraordinar'; having that quality.,"To remain extraordinary under pressure, you need clear priorities and regular breaks."
1910,B1-B2,extreme ,n, aşırılık,extreme: a countable or uncountable noun depending on context.,His explanation clarified what the extreme actually involves in practice.
1911,C1,eager ,adj," hevesli, gayretli, istekli",describing someone or something as 'eager'.,"To remain eager under pressure, you need clear priorities and regular breaks."
1912,C1,earnings ,n," kazanç, gelir, ücret, maaş",earnings: a countable or uncountable noun depending on context.,"Without adequate earnings, the entire plan could have fallen apart."
1913,C1,ease ,n," rahatlık, kolaylık",ease: a countable or uncountable noun depending on context.,"The ease played a crucial role in the outcome, though few noticed it at first."
1914,C1,ease ,v," kolaylaştırmak, rahatlatmak, hafifletmek, yatıştırmak, azaltmak",to ease: to perform the action of 'ease'.,We were advised to ease carefully so we wouldn’t overlook any detail.
1915,C1,echo ,n, yankı,echo: a countable or uncountable noun depending on context.,"Without adequate echo, the entire plan could have fallen apart."
1916,C1,echo ,v, yankılamak,to echo: to perform the action of 'echo'.,"Rather than echo immediately, they compared the alternatives thoroughly."
1917,C1,ecological ,adj," çevrebilimsel, ekolojik",related to or characteristic of 'ecolog'.,"Her approach is far more ecological than the previous one, which saves considerable time."
1918,C1,educator ,n, eğitimci,a person or thing that 'educat'‑s.,"Without adequate educator, the entire plan could have fallen apart."
1919,C1,effectiveness ,n, verimlilik,the state or quality of being 'effective'.,"Due to the effectiveness, the team had to revise the timeline, which affected several groups."
1920,C1,efficiency ,n, verimlilik,efficiency: a countable or uncountable noun depending on context.,"Due to the efficiency, the team had to revise the timeline, which affected several groups."
1921,C1,ego ,n," benlik, ego",ego: a countable or uncountable noun depending on context.,"The ego played a crucial role in the outcome, though few noticed it at first."
1922,C1,elaborate ,adj," ayrıntılı, detaylı, karmaşık",describing someone or something as 'elaborate'.,The summary is sufficiently elaborate for a board-level discussion.
1923,C1,electoral ,adj, seçimlere ilişkin,related to or characteristic of 'elector'.,"Her approach is far more electoral than the previous one, which saves considerable time."
1924,C1,elevate ,v," yükseltmek, kaldırmak",to elevate: to perform the action of 'elevate'.,"If you elevate consistently, you’ll see measurable progress within a few weeks."
1925,C1,eligible ,adj," nitelikli, uygun, geçerli",able to be 'elig'‑ed; capable or suitable.,"Her approach is far more eligible than the previous one, which saves considerable time."
1926,C1,elite ,n, seçkin kişiler,elite: a countable or uncountable noun depending on context.,"Due to the elite, the team had to revise the timeline, which affected several groups."
1927,C1,embark ,v," girişmek, kalkışmak, atılmak, (gemiye) binmek",to embark: to perform the action of 'embark'.,"If you embark consistently, you’ll see measurable progress within a few weeks."
1928,C1,embarrassment ,n," utanç, sıkılma",the result or process of 'embarrass'‑ing.,His explanation clarified what the embarrassment actually involves in practice.
1929,C1,embassy ,n, elçilik,embassy: a countable or uncountable noun depending on context.,"Due to the embassy, the team had to revise the timeline, which affected several groups."
1930,C1,embed ,v," yerleştirmek, gömmek",to embed: to perform the action of 'embed'.,"Rather than embed immediately, they compared the alternatives thoroughly."
1931,C1,embody ,v," cisimleştirmek, somutlaştırmak",to embody: to perform the action of 'embody'.,"If you embody consistently, you’ll see measurable progress within a few weeks."
1932,C1,emergence ,n," belirme, çıkma, oluşma",emergence: a countable or uncountable noun depending on context.,"Without adequate emergence, the entire plan could have fallen apart."
1933,C1,empirical ,adj," deneysel, görgül",related to or characteristic of 'empir'.,"Although the plan looked empirical at first, it turned out to be highly effective."
1934,C1,empower ,v," yetki vermek; izin vermek, güçlendirmek",to empower: to perform the action of 'empower'.,"If you empower consistently, you’ll see measurable progress within a few weeks."
1935,C1,enact ,v, yasa çıkarmak,to enact: to perform the action of 'enact'.,"Rather than enact immediately, they compared the alternatives thoroughly."
1936,C1,encompass ,v," kapsamak, kaplamak",to encompass: to perform the action of 'encompass'.,We were advised to encompass carefully so we wouldn’t overlook any detail.
1937,C1,encouragement ,n, cesaretlendirme,the result or process of 'encourage'‑ing.,His explanation clarified what the encouragement actually involves in practice.
1938,C1,encouraging ,adj," teşvik edici, cesaret verici",describing someone or something as 'encouraging'.,"Her approach is far more encouraging than the previous one, which saves considerable time."
1939,C1,endeavour ,n," çaba, gayret",endeavour: a countable or uncountable noun depending on context.,"Without adequate endeavour, the entire plan could have fallen apart."
1940,C1,endless ,adj," sonsuz, bitmek bilmeyen",without 'end'; lacking it.,"Although the plan looked endless at first, it turned out to be highly effective."
1941,C1,endorse ,v," onaylamak, desteklemek",to endorse: to perform the action of 'endorse'.,We were advised to endorse carefully so we wouldn’t overlook any detail.
1942,C1,endorsement ,n, kabul,the result or process of 'endorse'‑ing.,"Due to the endorsement, the team had to revise the timeline, which affected several groups."
1943,C1,endure ,v," dayanmak, katlanmak",to endure: to perform the action of 'endure'.,We were advised to endure carefully so we wouldn’t overlook any detail.
1944,C1,enforce ,v," zorlamak, güçlendirmek, yürütmek, yürürlüğe koymak",to enforce: to perform the action of 'enforce'.,"She has been trying to enforce the report, but unexpected issues kept coming up."
1945,C1,enforcement ,n," zorlama, uygulama, yürürlüğe koyma",the result or process of 'enforce'‑ing.,"The enforcement played a crucial role in the outcome, though few noticed it at first."
1946,C1,engagement ,n," nişanlılık, sözleşme",the result or process of 'engage'‑ing.,"Due to the engagement, the team had to revise the timeline, which affected several groups."
1947,C1,engaging ,adj," çekici, hoş, ilginç",describing someone or something as 'engaging'.,The summary is sufficiently engaging for a board-level discussion.
1948,C1,enquire ,v," sormak, soruşturmak, soru sormak",to enquire: to perform the action of 'enquire'.,"She has been trying to enquire the report, but unexpected issues kept coming up."
1949,C1,enrich ,v," zenginleştirmek, zengin etmek",to enrich: to perform the action of 'enrich'.,"Rather than enrich immediately, they compared the alternatives thoroughly."
1950,C1,enrol ,v," yazılmak, kaydolmak",to enrol: to perform the action of 'enrol'.,"She has been trying to enrol the report, but unexpected issues kept coming up."
1951,C1,ensue ,v," sonucu olmak, doğmak",to ensue: to perform the action of 'ensue'.,We were advised to ensue carefully so we wouldn’t overlook any detail.
1952,C1,enterprise ,n," girişim, teşebbüs, işletme",enterprise: a countable or uncountable noun depending on context.,"Without adequate enterprise, the entire plan could have fallen apart."
1953,C1,enthusiast ,n," hevesli, meraklı",enthusiast: a countable or uncountable noun depending on context.,"Without adequate enthusiast, the entire plan could have fallen apart."
1954,C1,entitle ,v," hak etmek, yetki vermek, hak tanımak",to entitle: to perform the action of 'entitle'.,"She has been trying to entitle the report, but unexpected issues kept coming up."
1955,C1,entity ,n," varlık, varoluş, öz, oluş",the quality or state of being 'ent'.,"Due to the entity, the team had to revise the timeline, which affected several groups."
1956,C1,epidemic ,n, salgın,epidemic: a countable or uncountable noun depending on context.,"The epidemic played a crucial role in the outcome, though few noticed it at first."
1957,C1,equality ,n, eşitlik,the quality or state of being 'equal'.,His explanation clarified what the equality actually involves in practice.
1958,C1,equation ,n," denge, eşitlik",the act or process of 'equ'‑ing; or the result of it.,His explanation clarified what the equation actually involves in practice.
1959,C1,erect ,v," dikmek, kurmak, inşa etmek",to erect: to perform the action of 'erect'.,We were advised to erect carefully so we wouldn’t overlook any detail.
1960,C1,escalate ,v, tırmanmak; yükselmek,to escalate: to perform the action of 'escalate'.,"She has been trying to escalate the report, but unexpected issues kept coming up."
1961,C1,essence ,n," öz, esas, esans, nitelik",essence: a countable or uncountable noun depending on context.,His explanation clarified what the essence actually involves in practice.
1962,C1,establishment ,n," kuruluş, tesis",the result or process of 'establish'‑ing.,"Without adequate establishment, the entire plan could have fallen apart."
1963,C1,eternal ,adj," ölümsüz, ölmez, sonsuz",related to or characteristic of 'etern'.,"Although the plan looked eternal at first, it turned out to be highly effective."
1964,C1,evacuate ,v," boşaltmak, tahliye etmek, kaçmak, kurtulmak",to evacuate: to perform the action of 'evacuate'.,We were advised to evacuate carefully so we wouldn’t overlook any detail.
1965,C1,evoke ,v," çağrışım yapmak, anımsatmak, hatırlatmak",to evoke: to perform the action of 'evoke'.,"Rather than evoke immediately, they compared the alternatives thoroughly."
1966,C1,evolutionary ,adj, evrimsel,somewhat like 'evolutionar'; having that quality.,The summary is sufficiently evolutionary for a board-level discussion.
1967,C1,exaggerate ,v," abartmak, aşırıya kaçmak",to exaggerate: to perform the action of 'exaggerate'.,"If you exaggerate consistently, you’ll see measurable progress within a few weeks."
1968,C1,excellence ,n, mükemmeliyet,excellence: a countable or uncountable noun depending on context.,"Due to the excellence, the team had to revise the timeline, which affected several groups."
1969,C1,exceptional ,adj," istisna, olağanüstü, fevkalade, nadir",related to or characteristic of 'exception'.,"Although the plan looked exceptional at first, it turned out to be highly effective."
1970,C1,excess ,adj, aşırı,describing someone or something as 'excess'.,"Her approach is far more excess than the previous one, which saves considerable time."
1971,C1,excess ,n," asırılık, asırıya kaçma, fazlalık",excess: a countable or uncountable noun depending on context.,"Without adequate excess, the entire plan could have fallen apart."
1972,C1,exclusion ,n," hariç tutma, dışında bırakma, ayırma, dışlama",the act or process of 'exclu'‑ing; or the result of it.,His explanation clarified what the exclusion actually involves in practice.
1973,C1,exclusive ,adj," tek, özel, ayrıcalıklı, seçkin, özgü",having a tendency or function to 'exclus'.,"Although the plan looked exclusive at first, it turned out to be highly effective."
1974,C1,exclusively ,adv," özellikle, sadece, yalnız",in a 'exclusive' manner; to a 'exclusive' degree.,"They communicated exclusively, which prevented a serious misunderstanding."
1975,C1,execute ,v, idam etmek; yürütmek,to execute: to perform the action of 'execute'.,"She has been trying to execute the report, but unexpected issues kept coming up."
1976,C1,execution ,n, idam,the act or process of 'execu'‑ing; or the result of it.,His explanation clarified what the execution actually involves in practice.
1977,C1,exert ,v," kullanmak, harcamak, uygulamak, çabalamak",to exert: to perform the action of 'exert'.,"Rather than exert immediately, they compared the alternatives thoroughly."
1978,C1,exile ,n, sürgün,exile: a countable or uncountable noun depending on context.,His explanation clarified what the exile actually involves in practice.
1979,C1,exit ,v," çıkmak, ayrılmak",to exit: to perform the action of 'exit'.,"She has been trying to exit the report, but unexpected issues kept coming up."
1980,C1,expenditure ,n," masraf, harcama, gider",expenditure: a countable or uncountable noun depending on context.,"Due to the expenditure, the team had to revise the timeline, which affected several groups."
1981,C1,experimental ,adj, deneysel,related to or characteristic of 'experiment'.,"Although the plan looked experimental at first, it turned out to be highly effective."
1982,C1,expire ,v," sona ermek, bitmek, geçerliliğini yitirmek",to expire: to perform the action of 'expire'.,"Rather than expire immediately, they compared the alternatives thoroughly."
1983,C1,explicit ,adj," açık, belirgin, aşikâr, açık açık",describing someone or something as 'explicit'.,"To remain explicit under pressure, you need clear priorities and regular breaks."
1984,C1,explicitly ,adv, açıkça,in a 'explicit' manner; to a 'explicit' degree.,The system now runs explicitly after the latest patch.
1985,C1,exploitation ,n," sömürü, faydalanma",the act or process of 'exploit'‑ing; or the result of it.,"Due to the exploitation, the team had to revise the timeline, which affected several groups."
1986,C1,explosive ,adj, patlayıcı,having a tendency or function to 'explos'.,"Although the plan looked explosive at first, it turned out to be highly effective."
1987,C1,explosive ,n, patlayıcı madde / düzenek,explosive: a countable or uncountable noun depending on context.,His explanation clarified what the explosive actually involves in practice.
1988,C1,extract ,v," çıkarmak, çekmek, özünü çıkarmak",to extract: to perform the action of 'extract'.,"She has been trying to extract the report, but unexpected issues kept coming up."
1989,C1,extremist ,n, uç kısım,a person who practices or supports 'extrem'.,"The extremist played a crucial role in the outcome, though few noticed it at first."
1990,A1-A2,face ,n, yüz,face: a countable or uncountable noun depending on context.,"Without adequate face, the entire plan could have fallen apart."
1991,A1-A2,fact ,n," gerçek, olgu",fact: a countable or uncountable noun depending on context.,His explanation clarified what the fact actually involves in practice.
1992,A1-A2,fall ,v," düşmek, inmek",to fall: to perform the action of 'fall'.,"She has been trying to fall the report, but unexpected issues kept coming up."
1993,A1-A2,false ,adj," yanlış, hatalı, sahte",describing someone or something as 'false'.,The summary is sufficiently false for a board-level discussion.
1994,A1-A2,family ,adj, ailevi,somewhat like 'famil'; having that quality.,"Although the plan looked family at first, it turned out to be highly effective."
1995,A1-A2,family ,n," aile, soy",family: a countable or uncountable noun depending on context.,His explanation clarified what the family actually involves in practice.
1996,A1-A2,famous ,adj, ünlü,having the quality of 'fam'.,"Her approach is far more famous than the previous one, which saves considerable time."
1997,A1-A2,fantastic ,adj," harika, düşsel, garip",related to or characteristic of 'fantast'.,"To remain fantastic under pressure, you need clear priorities and regular breaks."
1998,A1-A2,far ,adv," uzakta, çok",in a manner related to 'far'.,The system now runs far after the latest patch.
1999,A1-A2,farm ,n, çiftlik,farm: a countable or uncountable noun depending on context.,"The farm played a crucial role in the outcome, though few noticed it at first."
2000,A1-A2,farmer ,n, çiftçi,a person or thing that 'farm'‑s.,"Without adequate farmer, the entire plan could have fallen apart."
2001,A1-A2,fast ,adj," hızlı, çabuk",describing someone or something as 'fast'.,"Her approach is far more fast than the previous one, which saves considerable time."
2002,A1-A2,fast ,adv," hızlıca, süratle",in a manner related to 'fast'.,"They communicated fast, which prevented a serious misunderstanding."
2003,A1-A2,fat ,adj," şisman, tombul, iri, kalın",describing someone or something as 'fat'.,"Her approach is far more fat than the previous one, which saves considerable time."
2004,A1-A2,father ,n, baba,a person or thing that 'fath'‑s.,"Due to the father, the team had to revise the timeline, which affected several groups."
2005,A1-A2,favourite ,adj," en çok sevilen, favori, çok beğenilen",describing someone or something as 'favourite'.,"Her approach is far more favourite than the previous one, which saves considerable time."
2006,A1-A2,favourite ,n, favori,favourite: a countable or uncountable noun depending on context.,"Due to the favourite, the team had to revise the timeline, which affected several groups."
2007,A1-A2,February ,n, şubat,February: a countable or uncountable noun depending on context.,"Due to the February, the team had to revise the timeline, which affected several groups."
2008,A1-A2,feel ,v," hissetmek, duymak; düşünmek",to feel: to perform the action of 'feel'.,"She has been trying to feel the report, but unexpected issues kept coming up."
2009,A1-A2,feeling ,n," duygu, his",the activity or process of 'feel'‑ing.,"The feeling played a crucial role in the outcome, though few noticed it at first."
2010,A1-A2,festival ,n," bayram, eğlence",festival: a countable or uncountable noun depending on context.,"The festival played a crucial role in the outcome, though few noticed it at first."
2011,A1-A2,few ,adj," az, birkaç",describing someone or something as 'few'.,The summary is sufficiently few for a board-level discussion.
2012,A1-A2,few ,det," (pek az) sayıda, az miktarda, birkaç",a determiner/article placed before a noun to clarify reference.,This choice is reasonable under the circumstances.
2013,A1-A2,few ,pron, bazıları,"a pronoun used to refer to a person, thing, or idea without naming it.",They said they would join if the schedule allows.
2014,A1-A2,fifteen ,num, on beş,the English word 'fifteen'.,"In practice, 'fifteen' is used in contexts where clarity matters."
2015,A1-A2,fifth ,ord num, beşinci,the English word 'fifth'.,"In practice, 'fifth' is used in contexts where clarity matters."
2016,A1-A2,fifty ,num, elli,the English word 'fifty'.,"In practice, 'fifty' is used in contexts where clarity matters."
2017,A1-A2,fill ,v, doldurmak,to fill: to perform the action of 'fill'.,We were advised to fill carefully so we wouldn’t overlook any detail.
2018,A1-A2,film ,n, film; zar,film: a countable or uncountable noun depending on context.,"Due to the film, the team had to revise the timeline, which affected several groups."
2019,A1-A2,final ,adj," son, en son, sonuncu, nihai",related to or characteristic of 'fin'.,"Her approach is far more final than the previous one, which saves considerable time."
2020,A1-A2,find ,v," bulmak; anlamak, öğrenmek",to find: to perform the action of 'find'.,"She has been trying to find the report, but unexpected issues kept coming up."
2021,A1-A2,fine ,adj," iyi, hoş",describing someone or something as 'fine'.,"Her approach is far more fine than the previous one, which saves considerable time."
2022,A1-A2,finish ,v," bitmek, bitirmek, sona ermek",to finish: to perform the action of 'finish'.,We were advised to finish carefully so we wouldn’t overlook any detail.
2023,A1-A2,fire ,n," yangın, ateş",fire: a countable or uncountable noun depending on context.,"Due to the fire, the team had to revise the timeline, which affected several groups."
2024,A1-A2,first ,adv," ilk olarak, ilk defa",in a manner related to 'first'.,"She handled the situation first, even though the deadline was tight."
2025,A1-A2,first ,det," ilk, birinci",a determiner/article placed before a noun to clarify reference.,This choice is reasonable under the circumstances.
2026,A1-A2,first ,ord num, birinci,the English word 'first'.,"In practice, 'first' is used in contexts where clarity matters."
2027,A1-A2,fish ,n, balık,fish: a countable or uncountable noun depending on context.,"The fish played a crucial role in the outcome, though few noticed it at first."
2028,A1-A2,five ,num, beş,the English word 'five'.,"In practice, 'five' is used in contexts where clarity matters."
2029,A1-A2,flat ,n," apartman daire, kat",flat: a countable or uncountable noun depending on context.,"Without adequate flat, the entire plan could have fallen apart."
2030,A1-A2,flight ,n, uçuş,flight: a countable or uncountable noun depending on context.,"The flight played a crucial role in the outcome, though few noticed it at first."
2031,A1-A2,floor ,n," zemin, yer, kat",a person or thing that 'flo'‑s.,His explanation clarified what the floor actually involves in practice.
2032,A1-A2,flower ,n, çiçek,a person or thing that 'flow'‑s.,His explanation clarified what the flower actually involves in practice.
2033,A1-A2,fly ,v," uçmak, uçakla gitmek",to fly: to perform the action of 'fly'.,We were advised to fly carefully so we wouldn’t overlook any detail.
2034,A1-A2,follow ,v," izlemek, takip etmek, uymak",to follow: to perform the action of 'follow'.,"Rather than follow immediately, they compared the alternatives thoroughly."
2035,A1-A2,food ,n," yiyecek, yemek, gıda",food: a countable or uncountable noun depending on context.,"The food played a crucial role in the outcome, though few noticed it at first."
2036,A1-A2,foot ,n, ayak,foot: a countable or uncountable noun depending on context.,"The foot played a crucial role in the outcome, though few noticed it at first."
2037,A1-A2,football ,n," futbol, futbol topu",football: a countable or uncountable noun depending on context.,"Without adequate football, the entire plan could have fallen apart."
2038,A1-A2,for ,prep," için; -dır, -dir, -lığına","preposition: purpose, benefit, duration.",Thanks for your help; it made a real difference.
2039,A1-A2,forget ,v," unutmak, hatırlamamak",to forget: to perform the action of 'forget'.,"Rather than forget immediately, they compared the alternatives thoroughly."
2040,A1-A2,form ,n," biçim, şekil",form: a countable or uncountable noun depending on context.,"Due to the form, the team had to revise the timeline, which affected several groups."
2041,A1-A2,form ,v, oluşturmak,to form: to perform the action of 'form'.,We were advised to form carefully so we wouldn’t overlook any detail.
